"Age","Location","Gender","Income","Income_Category","EuclideanCluster","ManhattanCluster","CosineCluster"
56,"Urban","Male",72510,"$50,000 to $74,999",1,1,1
46,"Urban","Female",71748,"$50,000 to $74,999",2,2,1
32,"Urban","Female",74520,"$50,000 to $74,999",3,2,2
25,"Rural","Female",73406,"$50,000 to $74,999",3,3,2
56,"Suburban","Female",70066,"$50,000 to $74,999",2,4,3
36,"Suburban","Female",69636,"$50,000 to $74,999",3,4,2
28,"Urban","Female",68944,"$50,000 to $74,999",3,2,2
28,"Urban","Female",66796,"$50,000 to $74,999",3,2,2
53,"Suburban","Female",73964,"$50,000 to $74,999",2,4,1
20,"Urban","Female",66298,"$50,000 to $74,999",3,2,2
70,"Urban","Female",70496,"$50,000 to $74,999",2,2,1
41,"Urban","Female",66856,"$50,000 to $74,999",3,2,2
47,"Suburban","Female",65642,"$50,000 to $74,999",3,4,3
55,"Urban","Female",72402,"$50,000 to $74,999",2,2,1
19,"Urban","Female",74310,"$50,000 to $74,999",3,2,2
38,"Urban","Female",69002,"$50,000 to $74,999",3,2,2
61,"Urban","Male",71376,"$50,000 to $74,999",1,1,1
33,"Urban","Female",69972,"$50,000 to $74,999",3,2,2
64,"Urban","Male",50958,"$50,000 to $74,999",4,2,3
68,"Urban","Female",74064,"$50,000 to $74,999",2,2,1
61,"Urban","Male",69066,"$50,000 to $74,999",1,1,1
69,"Urban","Female",73738,"$50,000 to $74,999",2,2,1
20,"Urban","Male",70502,"$50,000 to $74,999",3,1,4
54,"Urban","Female",70586,"$50,000 to $74,999",2,2,1
24,"Urban","Male",65836,"$50,000 to $74,999",3,1,4
38,"Suburban","Male",73828,"$50,000 to $74,999",3,4,2
56,"Urban","Female",74820,"$50,000 to $74,999",2,2,1
42,"Urban","Male",65970,"$50,000 to $74,999",3,1,4
31,"Suburban","Female",68644,"$50,000 to $74,999",3,4,2
67,"Suburban","Male",68054,"$50,000 to $74,999",1,4,3
26,"Urban","Female",74042,"$50,000 to $74,999",3,2,2
43,"Urban","Female",71074,"$50,000 to $74,999",3,2,1
19,"Rural","Female",66402,"$50,000 to $74,999",3,3,2
37,"Urban","Female",71332,"$50,000 to $74,999",3,2,2
45,"Urban","Male",74462,"$50,000 to $74,999",1,1,4
24,"Urban","Male",71986,"$50,000 to $74,999",3,1,4
61,"Urban","Female",65652,"$50,000 to $74,999",2,2,1
25,"Suburban","Male",73092,"$50,000 to $74,999",3,4,2
31,"Urban","Male",73718,"$50,000 to $74,999",3,1,4
34,"Urban","Female",67916,"$50,000 to $74,999",3,2,2
21,"Urban","Male",66784,"$50,000 to $74,999",3,1,4
19,"Suburban","Male",72016,"$50,000 to $74,999",3,4,2
