Age,Location,Gender,Income
56,Urban,Male,72510
69,Urban,Male,75462
46,Urban,Female,71748
32,Urban,Female,74520
60,Urban,Male,640210
25,Rural,Female,73406
38,Rural,Male,3584362
56,Suburban,Female,70066
36,Suburban,Female,69636
40,Urban,Female,5188124
28,Urban,Female,68944
28,Urban,Female,66796
41,Rural,Female,9892000
70,Suburban,Male,35349
53,Suburban,Female,73964
57,Rural,Male,756798
41,Urban,Male,1011213
20,Urban,Female,66298
39,Rural,Female,3856805
70,Urban,Female,70496
19,Urban,Male,233049
41,Urban,Female,66856
61,Urban,Male,3270292
47,Suburban,Female,65642
55,Urban,Female,72402
19,Urban,Female,74310
38,Urban,Female,69002
50,Urban,Female,1538406
29,Rural,Male,5579421
39,Urban,Male,6252651
61,Urban,Male,71376
42,Urban,Male,3907114
66,Rural,Male,239639
44,Urban,Female,5922905
59,Rural,Male,875085
45,Urban,Male,490898
33,Urban,Female,69972
32,Suburban,Female,8440036
64,Urban,Male,50958
68,Urban,Female,74064
61,Urban,Male,69066
69,Urban,Female,73738
20,Urban,Male,70502
54,Urban,Female,70586
68,Urban,Female,6366832
24,Urban,Male,65836
38,Suburban,Male,73828
26,Urban,Male,5350468
56,Urban,Female,74820
35,Urban,Male,590478
21,Urban,Female,1248886
42,Urban,Male,65970
31,Suburban,Female,68644
67,Suburban,Male,68054
26,Urban,Female,74042
43,Urban,Female,71074
70,Urban,Male,9061674
19,Rural,Female,66402
37,Urban,Female,71332
45,Urban,Male,74462
64,Urban,Female,7166308
24,Urban,Male,71986
61,Urban,Female,65652
25,Suburban,Male,73092
64,Urban,Female,1142923
52,Urban,Male,215911
31,Urban,Male,73718
34,Urban,Female,67916
53,Urban,Female,158392
67,Suburban,Male,5227297
57,Urban,Male,4232118
21,Urban,Male,66784
19,Suburban,Male,72016
23,Urban,Female,75104
59,Urban,Male,5004178
21,Urban,Female,180722
46,Suburban,Female,5324279
35,Urban,Male,71180
43,Urban,Female,74094
61,Urban,Male,49810
51,Urban,Male,68654
27,Suburban,Male,66480
53,Urban,Female,66764
31,Suburban,Female,71224
48,Urban,Male,68174
65,Urban,Male,82524
32,Suburban,Male,66704
25,Urban,Male,659147
31,Urban,Female,66424
40,Urban,Female,72678
57,Urban,Male,53957
38,Urban,Male,41398
33,Rural,Male,71576
62,Suburban,Female,67830
35,Rural,Female,3059562
64,Rural,Female,67232
70,Urban,Male,69764
41,Urban,Male,5671675
43,Urban,Female,796904
42,Suburban,Male,555011
62,Urban,Male,69034
58,Urban,Male,66248
46,Urban,Male,73590
32,Urban,Male,68070
62,Urban,Female,67766
18,Urban,Female,67192
42,Suburban,Male,73634
24,Urban,Male,71594
26,Rural,Male,351674
41,Urban,Male,171792
18,Rural,Male,71314
61,Urban,Male,71448
25,Suburban,Male,5726383
41,Urban,Male,69570
28,Urban,Female,70452
68,Suburban,Female,74538
34,Urban,Male,68190
25,Urban,Male,65872
52,Urban,Male,157265
52,Urban,Male,66008
50,Urban,Female,72046
22,Urban,Male,71618
59,Urban,Female,68604
56,Urban,Female,70880
58,Suburban,Male,274241
45,Urban,Female,70658
24,Urban,Female,4855305
26,Urban,Female,68752
25,Urban,Male,71456
29,Urban,Female,73072
51,Urban,Male,65850
50,Rural,Female,5908245
65,Suburban,Male,128166
40,Urban,Male,72296
41,Urban,Male,75062
54,Urban,Male,67804
52,Rural,Female,7897514
61,Rural,Male,196973
57,Urban,Male,1034725
39,Urban,Male,70090
44,Urban,Male,302646
52,Urban,Male,37821
18,Urban,Male,141058
52,Urban,Female,289709
54,Urban,Female,414718
64,Urban,Male,1309591
31,Urban,Female,69850
20,Suburban,Male,71056
18,Urban,Female,72410
22,Urban,Male,66540
43,Suburban,Male,71384
31,Urban,Female,3336052
56,Urban,Male,279868
44,Urban,Female,66088
26,Urban,Female,70662
32,Urban,Female,67500
32,Suburban,Male,66212
43,Urban,Male,3345291
59,Urban,Female,66304
30,Suburban,Female,33597
68,Urban,Female,3063006
49,Urban,Male,73012
56,Urban,Male,74986
66,Urban,Female,65862
69,Urban,Male,4090954
49,Suburban,Female,85064
21,Urban,Female,537921
47,Urban,Female,164295
54,Rural,Female,2893692
40,Urban,Female,66666
56,Urban,Male,70646
62,Suburban,Female,68156
32,Suburban,Female,572590
60,Urban,Female,226610
46,Suburban,Male,70288
53,Urban,Female,73094
30,Suburban,Female,43133
49,Rural,Female,546930
24,Urban,Female,68044
68,Urban,Female,66446
39,Urban,Male,287640
45,Suburban,Female,73182
19,Suburban,Female,75118
59,Urban,Female,71990
62,Suburban,Female,71790
70,Suburban,Female,68046
23,Suburban,Female,31127
45,Suburban,Female,70500
45,Urban,Male,87542
61,Urban,Female,71280
61,Suburban,Male,70670
37,Rural,Male,74132
47,Urban,Male,65958
28,Urban,Male,217972
45,Suburban,Female,48122
42,Suburban,Male,73496
56,Urban,Female,4701227
50,Urban,Female,65756
18,Suburban,Female,7066470
44,Suburban,Male,66922
69,Suburban,Male,2567436
30,Suburban,Male,71024
58,Urban,Female,67218
20,Rural,Male,165136
56,Suburban,Female,72898
23,Urban,Female,65944
25,Rural,Female,67278
44,Rural,Female,66124
26,Suburban,Male,2526190
54,Urban,Female,70444
50,Urban,Female,6730067
68,Urban,Female,75497
59,Urban,Female,265239
61,Urban,Male,67380
41,Urban,Female,62367
32,Urban,Male,68888
49,Rural,Female,118467
49,Urban,Female,1845016
41,Urban,Female,1836641
58,Urban,Male,1710378
69,Urban,Male,74072
66,Suburban,Female,66420
66,Urban,Female,192980
69,Urban,Female,66382
29,Urban,Male,75288
56,Urban,Female,71626
19,Urban,Male,65114
20,Urban,Female,73568
66,Urban,Male,65804
54,Urban,Female,74500
66,Suburban,Male,73370
34,Urban,Female,707141
66,Urban,Female,73038
19,Urban,Female,65250
19,Urban,Male,317203
45,Urban,Male,67264
40,Urban,Female,69482
54,Urban,Male,73858
49,Urban,Male,6454062
50,Urban,Male,750717
18,Urban,Female,72528
36,Rural,Male,401941
19,Urban,Male,71028
70,Urban,Male,71208
61,Rural,Male,71800
43,Urban,Female,472998
49,Urban,Female,407919
23,Urban,Male,2551452
49,Urban,Female,68608
21,Urban,Female,72812
28,Rural,Male,74746
34,Urban,Male,65036
55,Urban,Female,74706
41,Urban,Male,833690
22,Urban,Female,101202
69,Urban,Female,69012
51,Urban,Female,5254469
23,Urban,Female,65128
39,Urban,Male,99893
28,Suburban,Female,68770
65,Urban,Male,66868
33,Urban,Female,66600
50,Urban,Female,69910
26,Urban,Male,66516
23,Urban,Male,70090
33,Suburban,Female,73576
46,Urban,Male,64964
20,Urban,Female,1063873
37,Rural,Female,69164
53,Urban,Female,70450
36,Suburban,Male,74906
43,Urban,Female,73946
20,Urban,Female,73820
36,Rural,Female,1391677
37,Suburban,Female,66282
49,Urban,Male,75122
24,Urban,Male,68860
69,Urban,Male,65288
58,Urban,Male,974747
50,Rural,Male,65708
57,Urban,Female,65766
56,Urban,Female,2323652
35,Suburban,Male,65822
57,Suburban,Male,58154
18,Urban,Male,71792
28,Suburban,Female,39006
45,Urban,Female,50966
42,Suburban,Female,74538
67,Urban,Female,70206
40,Rural,Female,2961188
48,Urban,Female,66452
47,Urban,Female,1677649
59,Urban,Female,69790
52,Suburban,Female,9465391
24,Suburban,Female,65184
33,Urban,Male,2657512
43,Urban,Female,68914
65,Urban,Male,72136
69,Urban,Male,71444
66,Urban,Male,242185
19,Urban,Female,73748
18,Urban,Male,31530
65,Urban,Female,68060
29,Rural,Female,321241
22,Urban,Female,709613
54,Urban,Female,73098
49,Urban,Male,168629
26,Urban,Female,424392
58,Urban,Female,74676
52,Urban,Male,69756
36,Urban,Male,67236
65,Urban,Female,68754
33,Urban,Female,410511
20,Urban,Male,1576578
37,Urban,Female,70778
41,Urban,Female,65736
50,Urban,Male,243355
41,Urban,Male,71478
69,Urban,Female,66494
28,Suburban,Male,67960
66,Rural,Male,72844
25,Urban,Male,4147945
53,Urban,Female,155898
55,Urban,Male,1067448
57,Urban,Male,67326
37,Urban,Male,68582
52,Urban,Female,73552
65,Suburban,Female,71192
42,Urban,Female,950366
52,Rural,Male,113193
42,Urban,Male,2368468
46,Urban,Female,652296
35,Urban,Female,74836
63,Urban,Female,69946
35,Rural,Male,4625741
19,Urban,Male,69554
52,Urban,Female,66282
33,Urban,Male,8736449
58,Urban,Female,663751
53,Urban,Male,8032384
50,Urban,Female,75064
21,Urban,Female,7474870
50,Rural,Female,2302264
31,Urban,Female,65910
38,Urban,Male,291614
65,Urban,Female,1257727
37,Suburban,Male,65544
25,Urban,Male,302344
24,Rural,Female,66970
20,Urban,Female,74584
34,Urban,Male,71076
50,Urban,Female,74302
65,Rural,Male,3179478
29,Urban,Female,69444
68,Urban,Female,75402
39,Urban,Male,3757718
39,Urban,Female,2771585
63,Urban,Male,4575920
47,Suburban,Female,131424
55,Rural,Female,66776
55,Rural,Male,1092686
62,Urban,Male,1984216
68,Urban,Male,9528817
25,Urban,Male,69116
44,Urban,Female,1884378
44,Suburban,Male,59242
51,Urban,Male,65782
38,Suburban,Male,68102
47,Suburban,Male,70618
50,Urban,Female,68002
45,Urban,Female,68984
64,Urban,Male,6610482
50,Urban,Female,4851486
22,Urban,Female,72492
65,Rural,Male,1614050
36,Urban,Male,708359
21,Urban,Female,72356
52,Suburban,Female,74404
66,Suburban,Female,66020
34,Suburban,Female,74066
61,Urban,Female,70822
45,Urban,Male,68752
47,Urban,Female,66010
46,Urban,Female,72678
63,Urban,Female,69186
70,Urban,Male,68940
23,Rural,Female,9504728
52,Urban,Female,68968
58,Urban,Female,69374
54,Urban,Female,1509022
41,Urban,Male,41463
46,Urban,Female,427162
66,Urban,Male,5875038
63,Rural,Male,68144
70,Urban,Male,6742582
48,Urban,Male,376228
52,Urban,Male,875247
50,Urban,Male,68108
69,Rural,Female,347682
38,Urban,Male,67886
49,Urban,Female,65588
40,Urban,Female,67420
50,Suburban,Male,2449031
20,Urban,Female,3180080
35,Urban,Female,70094
42,Urban,Female,3352411
59,Rural,Female,282378
48,Suburban,Female,5406118
20,Urban,Female,66266
57,Suburban,Male,73716
63,Urban,Female,65108
41,Urban,Female,71940
67,Urban,Male,72684
49,Suburban,Male,67978
64,Urban,Female,67578
39,Suburban,Female,72694
40,Urban,Female,72422
19,Suburban,Male,7754985
44,Urban,Female,284787
59,Urban,Male,70208
19,Urban,Female,65090
43,Urban,Female,70148
34,Urban,Male,205795
57,Urban,Male,70734
50,Rural,Female,901570
26,Urban,Female,75218
60,Urban,Female,70914
65,Urban,Female,71622
56,Urban,Male,70644
46,Urban,Male,467216
59,Suburban,Male,501533
43,Urban,Male,68376
52,Suburban,Male,9192817
67,Urban,Female,74106
42,Rural,Female,66726
41,Urban,Female,70402
30,Urban,Female,69972
24,Urban,Male,293587
53,Rural,Female,649595
62,Urban,Male,74830
37,Urban,Male,74898
18,Urban,Female,74538
25,Rural,Male,67276
63,Urban,Female,5685943
33,Urban,Male,70712
31,Suburban,Female,67356
29,Suburban,Female,910400
68,Suburban,Female,66350
40,Rural,Male,345839
32,Urban,Female,8201655
45,Urban,Male,66772
51,Urban,Male,66310
19,Suburban,Female,69952
49,Suburban,Male,92572
40,Rural,Male,67370
39,Urban,Male,71170
68,Urban,Male,65068
42,Urban,Female,519258
39,Urban,Female,65980
39,Urban,Female,72638
66,Suburban,Male,78307
69,Urban,Male,4432941
59,Urban,Male,66410
23,Urban,Male,66612
32,Suburban,Male,70596
60,Urban,Female,414620
54,Suburban,Male,354525
50,Urban,Male,68558
25,Urban,Male,68535
70,Urban,Female,69980
61,Suburban,Female,57289
61,Urban,Female,70106
22,Rural,Female,8059738
56,Urban,Female,83021
21,Urban,Male,66920
23,Urban,Female,1758550
62,Urban,Female,2783248
49,Urban,Female,32450
69,Urban,Female,70856
47,Suburban,Male,72462
64,Urban,Male,69794
52,Urban,Male,65018
57,Urban,Female,74586
69,Urban,Male,6387420
33,Urban,Female,70208
30,Rural,Female,54038
67,Urban,Male,73316
59,Suburban,Female,82352
47,Urban,Female,68672
36,Urban,Female,73228
34,Urban,Female,1477303
36,Urban,Male,65084
45,Urban,Female,68156
43,Urban,Male,5076701
54,Suburban,Male,71468
43,Rural,Male,68630
70,Urban,Female,105979
40,Suburban,Female,68766
26,Urban,Female,66584
29,Urban,Male,6467866
70,Rural,Female,64996
18,Urban,Male,677136
18,Suburban,Male,70060
64,Urban,Female,66686
51,Urban,Female,41476
49,Urban,Female,238978
65,Suburban,Male,72436
42,Urban,Female,73482
57,Urban,Female,217908
62,Urban,Male,71612
70,Urban,Female,73320
18,Urban,Female,67148
33,Suburban,Female,2316482
56,Suburban,Female,66684
22,Suburban,Female,68518
39,Rural,Female,69896
46,Suburban,Female,74678
20,Rural,Female,63816
29,Urban,Female,69104
43,Urban,Male,274618
33,Rural,Male,68110
68,Urban,Male,67804
54,Suburban,Female,66730
39,Urban,Female,65330
46,Suburban,Male,75252
31,Urban,Male,73196
45,Urban,Male,64986
22,Urban,Female,158549
64,Urban,Male,68298
66,Rural,Female,5147688
47,Urban,Male,67190
63,Rural,Male,572043
69,Urban,Male,73928
22,Rural,Female,3894078
29,Urban,Male,75212
33,Urban,Female,71140
43,Urban,Female,175474
43,Rural,Female,8127788
65,Urban,Female,73084
38,Urban,Male,4108639
56,Urban,Female,66018
53,Urban,Female,74826
50,Suburban,Male,66846
47,Urban,Female,69132
54,Urban,Female,72978
40,Rural,Male,241498
27,Urban,Male,222885
22,Suburban,Male,67254
53,Urban,Male,158110
51,Rural,Male,69044
69,Urban,Female,478752
48,Suburban,Female,66878
27,Urban,Male,843626
36,Urban,Female,67064
49,Urban,Male,71464
18,Urban,Male,65586
22,Urban,Female,175610
62,Urban,Female,67696
21,Rural,Female,66478
33,Urban,Female,66548
41,Urban,Male,68902
33,Urban,Male,602583
19,Urban,Female,65018
66,Urban,Female,66822
45,Rural,Female,560997
49,Suburban,Male,66440
44,Urban,Female,277160
37,Urban,Female,65528
41,Urban,Male,106368
29,Urban,Male,2097868
67,Urban,Female,70388
52,Suburban,Female,62559
50,Urban,Male,67924
50,Rural,Male,504237
68,Urban,Female,73768
60,Urban,Female,65972
54,Rural,Male,68376
29,Urban,Female,131230
20,Urban,Female,68274
18,Urban,Female,66600
50,Urban,Female,771537
57,Urban,Male,39667
27,Urban,Female,66450
60,Urban,Male,67218
61,Suburban,Male,70214
46,Urban,Female,9686527
30,Urban,Male,73848
29,Urban,Male,849730
48,Urban,Male,1059121
63,Urban,Female,69868
19,Urban,Female,5532664
68,Urban,Male,82327
67,Urban,Female,2053628
52,Suburban,Male,74294
40,Suburban,Male,3960902
34,Urban,Male,74560
43,Urban,Male,67902
25,Urban,Female,69962
46,Urban,Female,67130
43,Urban,Female,72278
27,Rural,Female,70130
43,Urban,Male,33186
51,Rural,Male,65326
68,Urban,Female,74294
58,Urban,Female,165431
24,Urban,Female,2657918
21,Suburban,Male,42163
70,Urban,Female,33942
67,Urban,Female,410272
62,Urban,Male,1435138
28,Suburban,Male,2262913
46,Suburban,Male,1349066
53,Urban,Female,68502
42,Urban,Male,69716
38,Rural,Female,38792
53,Suburban,Male,4228472
27,Urban,Male,71978
54,Suburban,Female,70516
26,Urban,Male,8305548
41,Urban,Male,66950
52,Urban,Male,65502
66,Urban,Male,66580
52,Suburban,Male,66760
65,Urban,Female,66818
53,Urban,Male,66784
35,Suburban,Female,958967
66,Suburban,Male,71568
56,Urban,Female,8419355
49,Urban,Male,107601
41,Suburban,Female,70458
40,Suburban,Female,68738
49,Suburban,Male,279628
54,Urban,Female,3330183
29,Urban,Female,67200
66,Suburban,Male,6854057
30,Suburban,Female,3818906
40,Urban,Male,68758
42,Urban,Male,68596
52,Suburban,Male,1175878
58,Urban,Female,31686
47,Urban,Male,75436
34,Urban,Male,3839043
66,Urban,Female,71942
37,Urban,Female,68864
65,Urban,Female,74898
42,Urban,Female,2936742
39,Rural,Female,72104
30,Rural,Male,67594
36,Rural,Male,165006
66,Suburban,Female,65020
53,Urban,Female,41515
29,Urban,Male,350894
58,Urban,Male,73230
36,Urban,Female,72978
29,Urban,Male,68700
26,Urban,Male,82154
24,Rural,Female,107243
45,Urban,Male,915503
31,Urban,Male,65314
48,Urban,Female,65040
69,Urban,Female,74884
36,Rural,Male,68110
64,Urban,Male,68878
33,Urban,Male,74884
70,Rural,Male,399394
22,Urban,Male,75392
52,Urban,Male,2670547
29,Urban,Male,61068
42,Suburban,Female,74356
69,Urban,Female,140820
38,Suburban,Male,160610
53,Rural,Male,4901426
70,Urban,Male,73066
40,Urban,Female,67216
33,Suburban,Female,73748
56,Urban,Female,115293
62,Rural,Male,70900
70,Urban,Female,1524598
59,Urban,Male,74470
56,Urban,Female,70462
31,Urban,Male,2479312
48,Urban,Male,434276
22,Suburban,Male,135880
52,Urban,Male,70764
40,Suburban,Male,73216
46,Urban,Female,972583
60,Urban,Male,70974
28,Suburban,Male,765409
35,Rural,Male,180011
64,Suburban,Female,949028
29,Suburban,Male,277533
26,Urban,Male,803474
27,Suburban,Male,31253
61,Urban,Female,69296
34,Urban,Female,109693
55,Urban,Male,116595
24,Suburban,Male,1367591
63,Urban,Male,1898623
30,Urban,Female,73332
57,Urban,Female,2969222
59,Urban,Female,216097
26,Suburban,Female,315577
67,Urban,Female,418597
44,Urban,Female,382099
19,Urban,Male,72936
22,Urban,Male,75286
46,Urban,Female,67702
54,Urban,Male,65850
55,Urban,Male,33104
36,Urban,Male,2283872
25,Suburban,Female,405190
65,Rural,Male,73068
62,Urban,Female,120270
18,Urban,Female,6030812
39,Suburban,Female,73926
69,Urban,Female,69508
34,Urban,Female,500243
24,Urban,Male,71312
42,Rural,Male,75286
62,Urban,Male,63583
21,Urban,Male,36391
53,Urban,Female,331574
23,Urban,Female,71588
48,Urban,Female,65062
36,Urban,Male,4699946
61,Suburban,Male,66416
56,Urban,Female,155552
44,Urban,Female,139391
27,Urban,Female,878775
43,Urban,Male,72382
36,Rural,Male,70312
56,Urban,Female,1722795
20,Urban,Female,67062
62,Urban,Female,70776
30,Urban,Male,73808
67,Rural,Female,75468
45,Urban,Female,70834
37,Urban,Female,73682
45,Urban,Female,67038
25,Suburban,Male,72748
58,Urban,Male,75368
56,Urban,Male,74916
18,Urban,Female,71036
20,Rural,Female,64926
30,Urban,Female,67234
45,Urban,Male,74496
66,Urban,Male,69718
42,Urban,Female,167419
50,Urban,Female,70312
55,Urban,Female,74062
70,Urban,Male,74500
23,Urban,Male,66186
61,Urban,Male,70400
62,Urban,Male,74698
49,Urban,Male,66384
62,Suburban,Female,3799344
64,Urban,Female,67726
38,Urban,Male,7926737
33,Suburban,Female,70986
38,Urban,Male,73856
28,Urban,Female,70198
54,Urban,Female,66296
53,Urban,Female,4386989
52,Urban,Female,72718
36,Urban,Male,332874
37,Urban,Male,606300
35,Suburban,Male,209662
64,Urban,Female,160961
58,Suburban,Female,71222
66,Rural,Female,1055994
31,Urban,Male,69480
32,Suburban,Male,309481
48,Urban,Male,66960
18,Urban,Male,74764
70,Rural,Female,69022
20,Urban,Male,1659982
33,Urban,Male,72082
40,Urban,Male,66368
28,Urban,Female,3070473
29,Urban,Male,74646
27,Urban,Female,66606
49,Urban,Male,310535
33,Urban,Male,66870
25,Urban,Male,46140
55,Urban,Female,162536
29,Urban,Female,68054
41,Urban,Male,67936
45,Urban,Male,73178
70,Suburban,Male,5257109
25,Urban,Male,58367
45,Urban,Female,355096
53,Suburban,Male,70002
43,Urban,Male,3283237
25,Urban,Male,65648
67,Urban,Male,65310
45,Urban,Male,70482
45,Urban,Male,73930
54,Rural,Male,67958
58,Urban,Male,66730
53,Urban,Male,75446
44,Suburban,Male,9256278
34,Urban,Male,65140
26,Urban,Female,74766
50,Urban,Female,74672
70,Urban,Female,73016
37,Suburban,Male,67003
30,Urban,Male,65080
45,Suburban,Female,2928110
65,Urban,Male,70870
46,Suburban,Female,68050
30,Urban,Female,401371
63,Suburban,Female,91729
52,Urban,Male,5409638
23,Suburban,Female,73234
35,Urban,Male,64902
68,Urban,Male,72248
22,Urban,Female,71774
64,Urban,Male,70682
42,Urban,Male,72128
19,Urban,Male,66146
27,Urban,Male,69200
47,Suburban,Female,72950
67,Urban,Male,4687100
62,Urban,Female,37263
22,Urban,Female,1438977
50,Urban,Male,499862
18,Rural,Female,1392089
35,Urban,Male,71758
49,Urban,Male,55420
64,Urban,Male,67150
66,Urban,Male,74874
28,Urban,Male,3506912
38,Urban,Male,72664
43,Urban,Male,65710
42,Urban,Male,69022
39,Urban,Female,449667
44,Urban,Male,73702
66,Urban,Male,73358
30,Rural,Female,65402
50,Rural,Female,71632
51,Suburban,Female,69468
58,Suburban,Male,75064
52,Urban,Male,7215570
18,Urban,Male,65088
38,Urban,Male,9716762
65,Urban,Female,224095
23,Suburban,Male,70966
45,Urban,Female,36759
34,Urban,Female,68666
22,Urban,Female,68714
48,Urban,Male,79533
22,Urban,Female,120065
55,Urban,Male,72060
20,Rural,Male,66750
70,Urban,Male,67070
40,Urban,Female,729029
54,Urban,Female,664183
70,Urban,Male,1703881
54,Urban,Female,75234
27,Urban,Female,73296
27,Urban,Male,73808
36,Urban,Female,74182
34,Urban,Female,66426
38,Urban,Male,67612
31,Suburban,Female,68126
26,Urban,Female,593149
63,Urban,Female,74160
18,Suburban,Male,138134
68,Urban,Female,1095081
62,Urban,Female,72774
30,Urban,Male,66242
21,Suburban,Male,2946835
18,Suburban,Male,71884
66,Urban,Female,65946
57,Urban,Male,6644024
49,Urban,Male,66780
51,Rural,Female,75402
45,Urban,Female,842278
48,Suburban,Female,1679420
25,Urban,Female,71356
56,Urban,Male,68034
43,Urban,Female,7391169
51,Suburban,Male,99759
20,Urban,Male,70966
67,Urban,Female,66384
29,Urban,Male,72822
18,Urban,Female,4882517
61,Suburban,Male,65210
22,Urban,Male,88374
47,Urban,Male,74108
47,Urban,Male,74296
34,Urban,Male,702136
65,Suburban,Male,6867844
64,Urban,Male,66948
40,Suburban,Female,69330
32,Urban,Male,74582
54,Urban,Male,69216
38,Urban,Male,68502
31,Rural,Female,65380
19,Urban,Female,71800
28,Urban,Male,284420
68,Suburban,Male,2176245
56,Rural,Female,73356
55,Urban,Male,74016
51,Urban,Female,69482
55,Urban,Female,66510
67,Urban,Female,66164
51,Urban,Female,251933
35,Rural,Male,74630
47,Urban,Female,504735
32,Urban,Female,68812
44,Suburban,Male,2270297
68,Urban,Female,1316336
51,Urban,Male,65902
69,Suburban,Male,1552014
55,Rural,Male,88122
50,Urban,Male,75162
41,Urban,Female,68996
32,Urban,Male,65664
47,Urban,Female,65340
59,Urban,Male,47782
68,Urban,Male,1087372
34,Suburban,Male,9531509
22,Suburban,Male,8157877
46,Suburban,Male,73616
21,Urban,Female,65394
27,Urban,Male,74320
34,Suburban,Female,68308
27,Suburban,Female,75008
34,Suburban,Male,74188
37,Rural,Female,71666
41,Suburban,Male,68490
22,Urban,Female,67998
51,Urban,Female,75356
23,Urban,Male,66728
70,Urban,Male,70232
19,Urban,Male,74378
30,Suburban,Female,442285
60,Urban,Male,65226
60,Suburban,Male,65502
65,Urban,Male,74578
28,Urban,Female,71756
68,Suburban,Female,49892
64,Urban,Female,65412
40,Urban,Female,68630
33,Urban,Male,2310294
48,Suburban,Female,65972
28,Suburban,Female,66712
33,Rural,Female,69136
25,Suburban,Male,112389
21,Suburban,Male,39291
57,Urban,Male,73170
21,Urban,Male,979482
42,Urban,Female,8118963
20,Urban,Female,1289200
49,Suburban,Female,67412
20,Urban,Female,81521
44,Urban,Female,71770
46,Urban,Male,74370
49,Urban,Male,70272
67,Urban,Male,3781994
68,Urban,Female,69370
36,Suburban,Male,742548
38,Urban,Male,67456
22,Rural,Female,6271915
35,Urban,Male,579302
45,Urban,Female,66061
59,Urban,Male,70014
39,Urban,Female,73636
38,Urban,Female,66568
23,Urban,Female,156573
18,Urban,Male,73316
22,Suburban,Female,71236
58,Urban,Female,3548572
29,Urban,Male,66744
43,Urban,Male,179838
63,Urban,Female,74180
51,Urban,Female,60978
66,Suburban,Male,31146
31,Urban,Female,70948
43,Rural,Female,403035
62,Urban,Male,74716
44,Urban,Female,70218
26,Rural,Female,70788
43,Urban,Male,65208
64,Suburban,Male,64910
39,Urban,Female,69766
64,Urban,Male,71338
47,Urban,Male,9127155
60,Suburban,Male,66482
65,Urban,Male,4996222
34,Urban,Male,65094
43,Rural,Male,265213
53,Urban,Female,75831
18,Urban,Female,70692
25,Rural,Female,102099
66,Urban,Male,65700
52,Urban,Female,72062
69,Suburban,Male,68658
32,Urban,Female,6557800
64,Urban,Male,68064
39,Urban,Male,70708
31,Suburban,Male,66198
43,Urban,Female,71174
45,Urban,Female,66662
40,Urban,Male,67214
31,Urban,Male,3674139
41,Urban,Female,74638
19,Urban,Male,69332
62,Urban,Male,72754
43,Urban,Male,66520
31,Urban,Male,4785452
68,Urban,Male,71952
24,Urban,Female,70966
20,Urban,Male,408416
64,Urban,Male,70646
40,Urban,Male,67464
63,Urban,Female,65490
60,Urban,Male,75348
64,Rural,Male,377069
62,Urban,Male,392367
35,Urban,Male,74906
55,Suburban,Female,2945793
52,Urban,Female,71852
68,Suburban,Female,66112
32,Rural,Male,66234
42,Urban,Female,509824
54,Suburban,Male,8134217
45,Urban,Male,75360
27,Urban,Female,66952
56,Urban,Male,66280
34,Urban,Male,39443
56,Urban,Male,695748
39,Urban,Female,70206
43,Suburban,Male,50218
61,Urban,Male,54398
42,Urban,Female,5399338
34,Urban,Female,72396
30,Urban,Female,73400
37,Urban,Female,65960
42,Suburban,Male,115244
21,Urban,Male,72780
27,Urban,Female,177226
20,Urban,Female,68748
58,Urban,Male,148688
62,Urban,Female,107163
35,Urban,Female,75294
64,Urban,Female,73028
53,Urban,Female,68698
64,Suburban,Male,74934
39,Suburban,Female,7050210
51,Urban,Female,4122726
64,Suburban,Female,73930
25,Suburban,Male,67368
57,Urban,Male,316137
66,Urban,Male,38856
61,Urban,Female,72392
36,Urban,Female,1156187
59,Urban,Male,71620
58,Urban,Female,69000
54,Urban,Female,162963
23,Urban,Male,65002
69,Urban,Female,1525243
43,Urban,Male,1395543
51,Urban,Male,73726
62,Urban,Male,1152808
23,Urban,Female,70470
54,Suburban,Male,66826
50,Urban,Male,69188
70,Urban,Male,1132979
39,Urban,Female,66250
38,Urban,Male,815891
23,Urban,Female,70568
23,Urban,Female,75072
65,Urban,Male,68592
21,Urban,Male,72900
47,Urban,Female,74574
28,Urban,Male,71838
47,Suburban,Male,74600
48,Urban,Female,65956
41,Urban,Female,643250
26,Suburban,Female,75462
20,Suburban,Female,51058
68,Urban,Female,71466
